ID	Bacteria	SampleID	GroupID	AdjustTillerNumber	Genotype	Correlation	FullName
39	GF	d53_GF_1_2	d53_GF	9	d53	Control	Germ free
40	GF	d53_GF_1_3	d53_GF	9	d53	Control	Germ free
41	GF	d53_GF_1_4	d53_GF	8	d53	Control	Germ free
42	GF	d53_GF_1_5	d53_GF	8	d53	Control	Germ free
43	GF	d53_GF_4_1	d53_GF	8	d53	Control	Germ free
44	GF	d53_GF_4_2	d53_GF	9	d53	Control	Germ free
45	GF	d53_GF_4_3	d53_GF	8	d53	Control	Germ free
46	GF	d53_GF_4_4	d53_GF	8	d53	Control	Germ free
47	GF	d53_GF_4_5	d53_GF	8	d53	Control	Germ free
48	GF	d53_GF_5_1	d53_GF	9	d53	Control	Germ free
49	GF	d53_GF_5_2	d53_GF	9	d53	Control	Germ free
50	GF	d53_GF_5_3	d53_GF	9	d53	Control	Germ free
51	GF	d53_GF_5_4	d53_GF	8	d53	Control	Germ free
52	GF	d53_GF_5_5	d53_GF	8	d53	Control	Germ free
53	GF	d17_GF_2_1	d17_GF	4	d17	Control	Germ free
54	GF	d17_GF_2_2	d17_GF	4	d17	Control	Germ free
55	GF	d17_GF_2_3	d17_GF	5	d17	Control	Germ free
56	GF	d17_GF_2_4	d17_GF	4	d17	Control	Germ free
57	GF	d17_GF_2_5	d17_GF	3	d17	Control	Germ free
58	GF	d17_GF_3_1	d17_GF	4	d17	Control	Germ free
59	GF	d17_GF_3_2	d17_GF	5	d17	Control	Germ free
60	GF	d17_GF_3_3	d17_GF	4	d17	Control	Germ free
61	GF	d17_GF_3_4	d17_GF	5	d17	Control	Germ free
62	GF	d17_GF_3_5	d17_GF	4	d17	Control	Germ free
63	GF	d14_GF_5_2	d14_GF	5	d14	Control	Germ free
64	GF	d14_GF_5_3	d14_GF	5	d14	Control	Germ free
65	GF	d14_GF_5_4	d14_GF	5	d14	Control	Germ free
66	GF	d10_GF_4_3	d10_GF	6	d10	Control	Germ free
67	GF	d10_GF_1_1	d10_GF	7	d10	Control	Germ free
68	GF	d14_GF_6_2	d14_GF	5	d14	Control	Germ free
69	GF	d14_GF_6_3	d14_GF	6	d14	Control	Germ free
70	GF	d14_GF_6_4	d14_GF	5	d14	Control	Germ free
71	GF	d14_GF_6_5	d14_GF	6	d14	Control	Germ free
72	GF	d10_GF_3_1	d10_GF	4	d10	Control	Germ free
73	GF	d10_GF_3_2	d10_GF	5	d10	Control	Germ free
74	GF	d10_GF_3_3	d10_GF	6	d10	Control	Germ free
75	GF	d10_GF_3_4	d10_GF	7	d10	Control	Germ free
76	GF	d10_GF_3_5	d10_GF	4	d10	Control	Germ free
77	GF	d10_GF_4_1	d10_GF	7	d10	Control	Germ free
78	GF	d10_GF_4_2	d10_GF	6	d10	Control	Germ free
79	GF	d17_GF_1_5	d17_GF	4	d17	Control	Germ free
80	GF	d10_GF_4_4	d10_GF	4	d10	Control	Germ free
81	GF	d10_GF_4_5	d10_GF	6	d10	Control	Germ free
82	GF	d14_GF_1_1	d14_GF	7	d14	Control	Germ free
83	GF	d14_GF_1_2	d14_GF	6	d14	Control	Germ free
84	GF	d14_GF_1_3	d14_GF	5	d14	Control	Germ free
85	GF	d14_GF_1_4	d14_GF	5	d14	Control	Germ free
86	GF	d14_GF_1_5	d14_GF	6	d14	Control	Germ free
87	GF	d14_GF_2_1	d14_GF	5	d14	Control	Germ free
88	GF	d17_GF_1_1	d17_GF	3	d17	Control	Germ free
89	GF	d17_GF_1_2	d17_GF	4	d17	Control	Germ free
90	GF	d17_GF_1_3	d17_GF	3	d17	Control	Germ free
91	GF	d17_GF_1_4	d17_GF	4	d17	Control	Germ free
92	GF	d14_GF_2_5	d14_GF	5	d14	Control	Germ free
93	GF	d14_GF_3_2	d14_GF	5	d14	Control	Germ free
94	GF	d14_GF_3_3	d14_GF	5	d14	Control	Germ free
95	GF	d14_GF_3_4	d14_GF	5	d14	Control	Germ free
96	GF	d14_GF_3_5	d14_GF	6	d14	Control	Germ free
97	GF	d14_GF_4_1	d14_GF	5	d14	Control	Germ free
98	GF	d14_GF_4_2	d14_GF	5	d14	Control	Germ free
99	GF	d14_GF_4_3	d14_GF	5	d14	Control	Germ free
100	GF	d14_GF_4_4	d14_GF	5	d14	Control	Germ free
101	GF	d14_GF_4_5	d14_GF	5	d14	Control	Germ free
102	GF	d14_GF_5_1	d14_GF	5	d14	Control	Germ free
103	GF	d14_GF_2_3	d14_GF	5	d14	Control	Germ free
104	GF	d14_GF_2_4	d14_GF	5	d14	Control	Germ free
105	GF	d10_GF_1_3	d10_GF	5	d10	Control	Germ free
106	GF	d14_GF_3_1	d14_GF	5	d14	Control	Germ free
107	GF	d10_GF_1_5	d10_GF	5	d10	Control	Germ free
108	GF	d10_GF_1_2	d10_GF	6	d10	Control	Germ free
109	GF	d10_GF_5_5	d10_GF	6	d10	Control	Germ free
110	GF	d10_GF_1_4	d10_GF	5	d10	Control	Germ free
111	GF	d14_GF_2_2	d14_GF	5	d14	Control	Germ free
112	GF	d10_GF_5_4	d10_GF	5	d10	Control	Germ free
113	GF	d10_GF_5_1	d10_GF	6	d10	Control	Germ free
114	GF	d10_GF_5_2	d10_GF	6	d10	Control	Germ free
115	GF	d10_GF_5_3	d10_GF	5	d10	Control	Germ free
186	R2488	d53_R2488_2_3	d53_R2488	4	d53	Negative	Burkholderia R2488
187	R2488	d53_R2488_2_4	d53_R2488	4	d53	Negative	Burkholderia R2488
188	R2488	Nip_R2488_1_1	Nip_R2488	1	Nip	Negative	Burkholderia R2488
189	R2488	d53_R2488_2_2	d53_R2488	5	d53	Negative	Burkholderia R2488
190	R2488	d17_R2488_3_2	d17_R2488	2	d17	Negative	Burkholderia R2488
191	R2488	d53_R2488_1_5	d53_R2488	4	d53	Negative	Burkholderia R2488
192	R2488	d53_R2488_2_1	d53_R2488	3	d53	Negative	Burkholderia R2488
193	R2488	Nip_R2488_1_3	Nip_R2488	1	Nip	Negative	Burkholderia R2488
194	R2488	d53_R2488_1_3	d53_R2488	3	d53	Negative	Burkholderia R2488
195	R2488	d17_R2488_3_3	d17_R2488	3	d17	Negative	Burkholderia R2488
196	R2488	Nip_R2488_1_2	Nip_R2488	1	Nip	Negative	Burkholderia R2488
197	R2488	d53_R2488_1_2	d53_R2488	1	d53	Negative	Burkholderia R2488
198	R2488	d14_R2488_2_2	d14_R2488	5	d14	Negative	Burkholderia R2488
199	R2488	d53_R2488_1_4	d53_R2488	1	d53	Negative	Burkholderia R2488
200	R2488	d14_R2488_1_5	d14_R2488	3	d14	Negative	Burkholderia R2488
201	R2488	d14_R2488_2_1	d14_R2488	4	d14	Negative	Burkholderia R2488
202	R2488	d17_R2488_3_5	d17_R2488	2	d17	Negative	Burkholderia R2488
203	R2488	d14_R2488_2_3	d14_R2488	2	d14	Negative	Burkholderia R2488
204	R2488	d14_R2488_2_4	d14_R2488	3	d14	Negative	Burkholderia R2488
205	R2488	d17_R2488_3_4	d17_R2488	4	d17	Negative	Burkholderia R2488
206	R2488	Nip_R2488_2_3	Nip_R2488	1	Nip	Negative	Burkholderia R2488
207	R2488	d14_R2488_1_3	d14_R2488	3	d14	Negative	Burkholderia R2488
208	R2488	d14_R2488_1_4	d14_R2488	5	d14	Negative	Burkholderia R2488
209	R2488	Nip_R2488_3_2	Nip_R2488	2	Nip	Negative	Burkholderia R2488
210	R2488	Nip_R2488_3_3	Nip_R2488	2	Nip	Negative	Burkholderia R2488
211	R2488	Nip_R2488_3_4	Nip_R2488	3	Nip	Negative	Burkholderia R2488
212	R2488	Nip_R2488_3_5	Nip_R2488	2	Nip	Negative	Burkholderia R2488
213	R2488	d10_R2488_2_2	d10_R2488	4	d10	Negative	Burkholderia R2488
214	R2488	d14_R2488_2_5	d14_R2488	4	d14	Negative	Burkholderia R2488
215	R2488	d53_R2488_2_5	d53_R2488	4	d53	Negative	Burkholderia R2488
216	R2488	Nip_R2488_1_4	Nip_R2488	1	Nip	Negative	Burkholderia R2488
217	R2488	Nip_R2488_2_1	Nip_R2488	1	Nip	Negative	Burkholderia R2488
218	R2488	d53_R2488_1_1	d53_R2488	1	d53	Negative	Burkholderia R2488
219	R2488	d14_R2488_1_2	d14_R2488	5	d14	Negative	Burkholderia R2488
220	R2488	d53_R2488_3_5	d53_R2488	3	d53	Negative	Burkholderia R2488
221	R2488	Nip_R2488_3_1	Nip_R2488	3	Nip	Negative	Burkholderia R2488
222	R2488	d17_R2488_2_2	d17_R2488	5	d17	Negative	Burkholderia R2488
223	R2488	d17_R2488_2_3	d17_R2488	1	d17	Negative	Burkholderia R2488
224	R2488	d17_R2488_2_4	d17_R2488	3	d17	Negative	Burkholderia R2488
225	R2488	d17_R2488_2_5	d17_R2488	NA	d17	Negative	Burkholderia R2488
226	R2488	d17_R2488_3_1	d17_R2488	5	d17	Negative	Burkholderia R2488
227	R2488	d10_R2488_2_3	d10_R2488	3	d10	Negative	Burkholderia R2488
228	R2488	d10_R2488_2_4	d10_R2488	4	d10	Negative	Burkholderia R2488
229	R2488	d53_R2488_3_1	d53_R2488	3	d53	Negative	Burkholderia R2488
230	R2488	d53_R2488_3_2	d53_R2488	3	d53	Negative	Burkholderia R2488
231	R2488	Nip_R2488_2_2	Nip_R2488	1	Nip	Negative	Burkholderia R2488
232	R2488	d53_R2488_3_4	d53_R2488	3	d53	Negative	Burkholderia R2488
233	R2488	d17_R2488_1_5	d17_R2488	1	d17	Negative	Burkholderia R2488
234	R2488	d17_R2488_2_1	d17_R2488	2	d17	Negative	Burkholderia R2488
235	R2488	d10_R2488_3_5	d10_R2488	3	d10	Negative	Burkholderia R2488
236	R2488	d10_R2488_1_2	d10_R2488	2	d10	Negative	Burkholderia R2488
237	R2488	d10_R2488_1_3	d10_R2488	1	d10	Negative	Burkholderia R2488
238	R2488	d10_R2488_1_4	d10_R2488	3	d10	Negative	Burkholderia R2488
239	R2488	d10_R2488_1_5	d10_R2488	4	d10	Negative	Burkholderia R2488
240	R2488	d10_R2488_2_1	d10_R2488	3	d10	Negative	Burkholderia R2488
241	R2488	d14_R2488_1_1	d14_R2488	4	d14	Negative	Burkholderia R2488
242	R2488	d10_R2488_2_5	d10_R2488	4	d10	Negative	Burkholderia R2488
243	R2488	d10_R2488_3_1	d10_R2488	2	d10	Negative	Burkholderia R2488
244	R2488	d53_R2488_3_3	d53_R2488	4	d53	Negative	Burkholderia R2488
245	R2488	d17_R2488_1_3	d17_R2488	3	d17	Negative	Burkholderia R2488
246	R2488	d10_R2488_3_3	d10_R2488	3	d10	Negative	Burkholderia R2488
247	R2488	d10_R2488_3_4	d10_R2488	4	d10	Negative	Burkholderia R2488
248	R2488	d10_R2488_1_1	d10_R2488	3	d10	Negative	Burkholderia R2488
249	R2488	d14_R2488_3_1	d14_R2488	2	d14	Negative	Burkholderia R2488
250	R2488	d17_R2488_1_4	d17_R2488	2	d17	Negative	Burkholderia R2488
251	R2488	d17_R2488_1_1	d17_R2488	3	d17	Negative	Burkholderia R2488
252	R2488	d17_R2488_1_2	d17_R2488	1	d17	Negative	Burkholderia R2488
253	R2488	d14_R2488_3_2	d14_R2488	4	d14	Negative	Burkholderia R2488
254	R2488	d14_R2488_3_4	d14_R2488	3	d14	Negative	Burkholderia R2488
255	R2488	d14_R2488_3_5	d14_R2488	4	d14	Negative	Burkholderia R2488
256	R2488	d10_R2488_3_2	d10_R2488	3	d10	Negative	Burkholderia R2488
257	R2488	d14_R2488_3_3	d14_R2488	4	d14	Negative	Burkholderia R2488
